               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  71,            0.030302,            0.011515,            0.012908,             0.53702,             0.54362,             0.50983,             0.30226,            0.040296,            0.010396,            0.014656,             0.00307,             0.00307,             0.00307
                  72,            0.029573,            0.011281,            0.012741,             0.51348,             0.54736,             0.51267,             0.29992,            0.040225,            0.010004,            0.014743,            0.002971,            0.002971,            0.002971
                  73,            0.029755,            0.011056,            0.012616,             0.50186,             0.54281,             0.49245,               0.296,            0.039662,            0.010418,            0.014713,            0.002872,            0.002872,            0.002872
                  74,            0.029474,            0.010969,            0.012608,             0.52912,             0.54518,             0.50555,             0.30456,            0.039659,           0.0099882,            0.014541,            0.002773,            0.002773,            0.002773
                  75,             0.02901,            0.010993,            0.012252,              0.5456,             0.54375,             0.52062,             0.31725,             0.03953,            0.010211,            0.014559,            0.002674,            0.002674,            0.002674
                  76,            0.028607,            0.010752,            0.011792,             0.55032,             0.54915,             0.52549,             0.31983,             0.03917,            0.010097,            0.013969,            0.002575,            0.002575,            0.002575
                  77,            0.028845,            0.010977,            0.011727,             0.57055,             0.55221,             0.53328,             0.32279,            0.039321,            0.010408,            0.014119,            0.002476,            0.002476,            0.002476
                  78,            0.028594,            0.010775,            0.011585,             0.54877,              0.5583,             0.53885,             0.32473,            0.039201,             0.01034,            0.014105,            0.002377,            0.002377,            0.002377
                  79,            0.028605,            0.010798,            0.011629,             0.55074,             0.57609,             0.54585,             0.33433,            0.038883,             0.01007,            0.013852,            0.002278,            0.002278,            0.002278
                  80,            0.028645,            0.010612,            0.011386,             0.57294,             0.56542,             0.54253,              0.3312,            0.038767,            0.010556,            0.013884,            0.002179,            0.002179,            0.002179
                  81,            0.028361,            0.010594,            0.011628,             0.58887,             0.55356,             0.54618,             0.33011,            0.038477,            0.010397,            0.014015,             0.00208,             0.00208,             0.00208
                  82,            0.028113,            0.010905,            0.011436,             0.58421,             0.56182,             0.55382,             0.33793,            0.038343,            0.010655,            0.013695,            0.001981,            0.001981,            0.001981
                  83,             0.02793,            0.010508,            0.010711,             0.58552,              0.5781,             0.56047,             0.34323,            0.038056,            0.010776,            0.013598,            0.001882,            0.001882,            0.001882
